output_item_id,output_count,input_item_id,input_count,station,recipe_id,recipe_type
minecraft:acacia_boat,1,minecraft:acacia_planks,5,CRAFTING_TABLE,acacia_boat,minecraft:crafting_shaped
minecraft:acacia_button,1,minecraft:acacia_planks,1,CRAFTING_TABLE,acacia_button,minecraft:crafting_shapeless
minecraft:acacia_chest_boat,1,minecraft:acacia_boat,1,CRAFTING_TABLE,acacia_chest_boat,minecraft:crafting_shapeless
minecraft:acacia_chest_boat,1,minecraft:chest,1,CRAFTING_TABLE,acacia_chest_boat,minecraft:crafting_shapeless
minecraft:acacia_door,3,minecraft:acacia_planks,6,CRAFTING_TABLE,acacia_door,minecraft:crafting_shaped
minecraft:acacia_fence,3,minecraft:acacia_planks,4,CRAFTING_TABLE,acacia_fence,minecraft:crafting_shaped
minecraft:acacia_fence,3,minecraft:stick,2,CRAFTING_TABLE,acacia_fence,minecraft:crafting_shaped
minecraft:acacia_fence_gate,1,minecraft:acacia_planks,2,CRAFTING_TABLE,acacia_fence_gate,minecraft:crafting_shaped
minecraft:acacia_fence_gate,1,minecraft:stick,4,CRAFTING_TABLE,acacia_fence_gate,minecraft:crafting_shaped
minecraft:acacia_hanging_sign,6,minecraft:iron_chain,2,CRAFTING_TABLE,acacia_hanging_sign,minecraft:crafting_shaped
minecraft:acacia_hanging_sign,6,minecraft:stripped_acacia_log,6,CRAFTING_TABLE,acacia_hanging_sign,minecraft:crafting_shaped
minecraft:acacia_pressure_plate,1,minecraft:acacia_planks,2,CRAFTING_TABLE,acacia_pressure_plate,minecraft:crafting_shaped
minecraft:acacia_shelf,6,minecraft:stripped_acacia_log,6,CRAFTING_TABLE,acacia_shelf,minecraft:crafting_shaped
minecraft:acacia_sign,3,minecraft:acacia_planks,6,CRAFTING_TABLE,acacia_sign,minecraft:crafting_shaped
minecraft:acacia_sign,3,minecraft:stick,1,CRAFTING_TABLE,acacia_sign,minecraft:crafting_shaped
minecraft:acacia_slab,6,minecraft:acacia_planks,3,CRAFTING_TABLE,acacia_slab,minecraft:crafting_shaped
minecraft:acacia_stairs,4,minecraft:acacia_planks,6,CRAFTING_TABLE,acacia_stairs,minecraft:crafting_shaped
minecraft:acacia_trapdoor,2,minecraft:acacia_planks,6,CRAFTING_TABLE,acacia_trapdoor,minecraft:crafting_shaped
minecraft:acacia_wood,3,minecraft:acacia_log,4,CRAFTING_TABLE,acacia_wood,minecraft:crafting_shaped
minecraft:activator_rail,6,minecraft:iron_ingot,6,CRAFTING_TABLE,activator_rail,minecraft:crafting_shaped
minecraft:activator_rail,6,minecraft:redstone_torch,1,CRAFTING_TABLE,activator_rail,minecraft:crafting_shaped
minecraft:activator_rail,6,minecraft:stick,2,CRAFTING_TABLE,activator_rail,minecraft:crafting_shaped
minecraft:amethyst_block,1,minecraft:amethyst_shard,4,CRAFTING_TABLE,amethyst_block,minecraft:crafting_shaped
minecraft:andesite,2,minecraft:cobblestone,1,CRAFTING_TABLE,andesite,minecraft:crafting_shapeless
minecraft:andesite,2,minecraft:diorite,1,CRAFTING_TABLE,andesite,minecraft:crafting_shapeless
minecraft:andesite_slab,6,minecraft:andesite,3,CRAFTING_TABLE,andesite_slab,minecraft:crafting_shaped
minecraft:andesite_slab,2,minecraft:andesite,1,STONECUTTER,andesite_slab_from_andesite_stonecutting,minecraft:stonecutting
minecraft:andesite_stairs,4,minecraft:andesite,6,CRAFTING_TABLE,andesite_stairs,minecraft:crafting_shaped
minecraft:andesite_stairs,1,minecraft:andesite,1,STONECUTTER,andesite_stairs_from_andesite_stonecutting,minecraft:stonecutting
minecraft:andesite_wall,6,minecraft:andesite,6,CRAFTING_TABLE,andesite_wall,minecraft:crafting_shaped
minecraft:andesite_wall,1,minecraft:andesite,1,STONECUTTER,andesite_wall_from_andesite_stonecutting,minecraft:stonecutting
minecraft:anvil,1,minecraft:iron_block,3,CRAFTING_TABLE,anvil,minecraft:crafting_shaped
minecraft:anvil,1,minecraft:iron_ingot,4,CRAFTING_TABLE,anvil,minecraft:crafting_shaped
minecraft:armor_stand,1,minecraft:smooth_stone_slab,1,CRAFTING_TABLE,armor_stand,minecraft:crafting_shaped
minecraft:armor_stand,1,minecraft:stick,6,CRAFTING_TABLE,armor_stand,minecraft:crafting_shaped
minecraft:arrow,4,minecraft:feather,1,CRAFTING_TABLE,arrow,minecraft:crafting_shaped
minecraft:arrow,4,minecraft:flint,1,CRAFTING_TABLE,arrow,minecraft:crafting_shaped
minecraft:arrow,4,minecraft:stick,1,CRAFTING_TABLE,arrow,minecraft:crafting_shaped
minecraft:baked_potato,1,minecraft:potato,1,FURNACE,baked_potato,minecraft:smelting
minecraft:baked_potato,1,minecraft:potato,1,FURNACE,baked_potato_from_campfire_cooking,minecraft:campfire_cooking
minecraft:baked_potato,1,minecraft:potato,1,FURNACE,baked_potato_from_smoking,minecraft:smoking
minecraft:bamboo_block,1,minecraft:bamboo,9,CRAFTING_TABLE,bamboo_block,minecraft:crafting_shapeless
minecraft:bamboo_button,1,minecraft:bamboo_planks,1,CRAFTING_TABLE,bamboo_button,minecraft:crafting_shapeless
minecraft:bamboo_chest_raft,1,minecraft:bamboo_raft,1,CRAFTING_TABLE,bamboo_chest_raft,minecraft:crafting_shapeless
minecraft:bamboo_chest_raft,1,minecraft:chest,1,CRAFTING_TABLE,bamboo_chest_raft,minecraft:crafting_shapeless
minecraft:bamboo_door,3,minecraft:bamboo_planks,6,CRAFTING_TABLE,bamboo_door,minecraft:crafting_shaped
minecraft:bamboo_fence,3,minecraft:bamboo_planks,4,CRAFTING_TABLE,bamboo_fence,minecraft:crafting_shaped
minecraft:bamboo_fence,3,minecraft:stick,2,CRAFTING_TABLE,bamboo_fence,minecraft:crafting_shaped
minecraft:bamboo_fence_gate,1,minecraft:bamboo_planks,2,CRAFTING_TABLE,bamboo_fence_gate,minecraft:crafting_shaped
minecraft:bamboo_fence_gate,1,minecraft:stick,4,CRAFTING_TABLE,bamboo_fence_gate,minecraft:crafting_shaped
