target_item_id,source_id,method,confidence
minecraft:acacia_boat,minecraft:acacia_boat,identity,high
minecraft:acacia_button,minecraft:acacia_button,identity,high
minecraft:acacia_chest_boat,minecraft:acacia_boat,auto,medium
minecraft:acacia_chest_boat,minecraft:acacia_chest_boat,identity,high
minecraft:acacia_door,minecraft:acacia_door,identity,high
minecraft:acacia_fence,minecraft:acacia_fence,identity,high
minecraft:acacia_fence,minecraft:acacia_planks,auto,medium
minecraft:acacia_fence_gate,minecraft:acacia_fence_gate,identity,high
minecraft:acacia_fence_gate,minecraft:acacia_planks,auto,medium
minecraft:acacia_hanging_sign,minecraft:acacia_hanging_sign,identity,high
minecraft:acacia_leaves,minecraft:acacia_leaves,identity,high
minecraft:acacia_log,minecraft:acacia_log,identity,high
minecraft:acacia_planks,minecraft:acacia_log,auto,medium
minecraft:acacia_planks,minecraft:acacia_planks,identity,high
minecraft:acacia_planks,minecraft:birch_log,auto,medium
minecraft:acacia_planks,minecraft:cherry_log,auto,medium
minecraft:acacia_planks,minecraft:dark_oak_log,auto,medium
minecraft:acacia_planks,minecraft:jungle_log,auto,medium
minecraft:acacia_planks,minecraft:mangrove_log,auto,medium
minecraft:acacia_planks,minecraft:oak_log,auto,medium
minecraft:acacia_planks,minecraft:spruce_log,auto,medium
minecraft:acacia_pressure_plate,minecraft:acacia_pressure_plate,identity,high
minecraft:acacia_sapling,minecraft:acacia_leaves,auto,medium
minecraft:acacia_sapling,minecraft:acacia_sapling,identity,high
minecraft:acacia_shelf,minecraft:acacia_shelf,identity,high
minecraft:acacia_sign,minecraft:acacia_planks,auto,medium
minecraft:acacia_sign,minecraft:acacia_sign,identity,high
minecraft:acacia_slab,minecraft:acacia_slab,identity,high
minecraft:acacia_stairs,minecraft:acacia_stairs,identity,high
minecraft:acacia_trapdoor,minecraft:acacia_trapdoor,identity,high
minecraft:acacia_wood,minecraft:acacia_wood,identity,high
minecraft:activator_rail,minecraft:activator_rail,identity,high
minecraft:activator_rail,minecraft:redstone_torch,auto,medium
minecraft:air,minecraft:air,identity,high
minecraft:allay_spawn_egg,minecraft:allay_spawn_egg,identity,high
minecraft:allium,minecraft:allium,identity,high
minecraft:amethyst_block,minecraft:amethyst_block,identity,high
minecraft:amethyst_cluster,minecraft:amethyst_cluster,identity,high
minecraft:amethyst_shard,minecraft:amethyst_shard,identity,high
minecraft:ancient_debris,minecraft:ancient_debris,identity,high
minecraft:andesite,minecraft:andesite,identity,high
minecraft:andesite,minecraft:diorite,auto,medium
minecraft:andesite_slab,minecraft:andesite_slab,identity,high
minecraft:andesite_stairs,minecraft:andesite_stairs,identity,high
minecraft:andesite_wall,minecraft:andesite_wall,identity,high
minecraft:angler_pottery_sherd,minecraft:angler_pottery_sherd,identity,high
minecraft:anvil,minecraft:anvil,identity,high
minecraft:anvil,minecraft:iron_block,auto,medium
minecraft:apple,minecraft:apple,identity,high
minecraft:apple,minecraft:dark_oak_leaves,auto,medium
minecraft:apple,minecraft:oak_leaves,auto,medium
minecraft:archer_pottery_sherd,minecraft:archer_pottery_sherd,identity,high
minecraft:armadillo_scute,minecraft:armadillo_scute,identity,high
minecraft:armadillo_spawn_egg,minecraft:armadillo_spawn_egg,identity,high
minecraft:armor_stand,minecraft:armor_stand,identity,high
minecraft:armor_stand,minecraft:smooth_stone_slab,auto,medium
minecraft:arms_up_pottery_sherd,minecraft:arms_up_pottery_sherd,identity,high
minecraft:arrow,minecraft:arrow,identity,high
minecraft:arrow,minecraft:feather,auto,medium
minecraft:arrow,minecraft:flint,auto,medium
minecraft:axolotl_bucket,minecraft:axolotl_bucket,identity,high
minecraft:axolotl_spawn_egg,minecraft:axolotl_spawn_egg,identity,high
minecraft:azalea,minecraft:azalea,identity,high
minecraft:azalea,minecraft:azalea_leaves,auto,medium
minecraft:azalea_leaves,minecraft:azalea_leaves,identity,high
minecraft:azure_bluet,minecraft:azure_bluet,identity,high
minecraft:baked_potato,minecraft:baked_potato,identity,high
minecraft:bamboo,minecraft:bamboo,identity,high
minecraft:bamboo_block,minecraft:bamboo_block,identity,high
minecraft:bamboo_button,minecraft:bamboo_button,identity,high
minecraft:bamboo_chest_raft,minecraft:bamboo_chest_raft,identity,high
